"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"IL17C" 7.23786760589464 -0.295761499838267 4.93784715694655 0.00258084972636725 0.0655940707655654 -4.58539560349967
"GPR141" 6.82929963446955 1.27211477256109 4.91656901119692 0.00263683450516117 0.0655940707655654 -4.58541592265153
"HESX1" 6.28303033188997 1.88978487588183 4.88916582403684 0.00271097171124641 0.0655940707655654 -4.58544237757704
"PRAME" 6.58658622088442 -1.41388344270395 4.83828962161376 0.00285495651627455 0.0655940707655654 -4.58549236471438
"HOXC13" 7.0105846741619 -1.99436546642579 4.81066824404193 0.00293673995278675 0.0655940707655654 -4.58551998686976
"OR4F6" 7.0105846741619 -1.99436546642579 4.81066824404193 0.00293673995278675 0.0655940707655654 -4.58551998686976
"OR7C1" 7.0105846741619 -1.99436546642579 4.81066824404193 0.00293673995278675 0.0655940707655654 -4.58551998686976
"VSX1" 7.0105846741619 -1.20188421606522 4.78632933224563 0.00301100533419016 0.0655940707655654 -4.58554461365775
"GAPT" 6.496129764718 4.0355855791352 4.75704525955917 0.00310318931094661 0.0655940707655654 -4.58557460589082
"C5orf58" 6.75710467980196 -0.536142962884607 4.74550412426454 0.00314039287695567 0.0655940707655654 -4.58558653594145
"CARD17" 8.39883165333832 1.07720177424415 4.72797572504109 0.00319786475487907 0.0655940707655654 -4.58560477502265
"PLEK" 5.98214826497091 8.99444656701714 4.69758157635615 0.00330035965343486 0.0655940707655654 -4.58563674819387
"HBG2" 6.67687234370534 -0.57625913093292 4.69525223798265 0.00330836644542425 0.0655940707655654 -4.58563921685146
"IFIT1" 6.05351502558512 7.82308135760609 4.66460162614178 0.00341579308999909 0.0655940707655654 -4.58567194622696
"C9orf66" 5.89392782030501 1.34125738634147 4.64914380434984 0.0034714608068609 0.0655940707655654 -4.5856886270387
"APOBEC3A" 7.27740771833148 5.27656267839835 4.6066199403942 0.00362995718127847 0.0655940707655654 -4.58573512899464
"OLR1" 5.96032961455965 7.93414122844018 4.59667824313712 0.00366817938142329 0.0655940707655654 -4.58574613214073
"TM4SF20" 7.18110313307944 -0.748142189523345 4.59196849949619 0.00368644492037962 0.0655940707655654 -4.58575136229337
"OAS1" 5.90439470252607 7.56546628334696 4.58978790917618 0.0036949365040466 0.0655940707655654 -4.58575378766618
"S100A12" 7.65234212469493 7.73270690405203 4.56881618314353 0.003777739708493 0.0655940707655654 -4.58577723813832
"METTL7B" 5.9576873421506 0.793864177608362 4.56352941031501 0.00379894241310086 0.0655940707655654 -4.58578318557407
"CLC" 5.92728235258655 2.50572303645245 4.55438287113578 0.00383594234400616 0.0655940707655654 -4.58579350936724
"LOC100131626" 6.48336078215071 -0.673014911710232 4.55365833506858 0.00383889058356694 0.0655940707655654 -4.58579432901933
"ANKS4B" 6.03681838410896 -0.896286110731103 4.54564744315789 0.00387165882152152 0.0655940707655654 -4.58580340983405
"CA1" 7.39150480556452 0.457875577304025 4.50396992280269 0.00404730692666859 0.0655940707655654 -4.58585119913492
"TUBB4B" -5.72130777266305 5.77525821801549 -4.49836088112852 0.00407162416466396 0.0655940707655654 -4.58585770125466
"BCL2A1" 5.74373049990474 9.27278902284753 4.49286581614589 0.00409560694539177 0.0655940707655654 -4.58586408763173
"IFITM2" 6.02128529504626 12.2421963815331 4.48142626130622 0.00414604600316896 0.0655940707655654 -4.58587743492702
"CCL11" 5.82751315686869 7.1660611277486 4.46825872203111 0.00420497190558633 0.0655940707655654 -4.58589288618486
"MMP8" 6.69575129590541 3.58278435436076 4.4597207254663 0.0042436838923614 0.0655940707655654 -4.58590295549159
"TREML3P" 5.65352734664282 2.83376720652739 4.44467955457155 0.00431286157456833 0.0655940707655654 -4.58592079164577
"LILRA6" 5.6914543107213 5.76269353656892 4.44356387257349 0.00431804318867245 0.0655940707655654 -4.58592211961404
"DAPP1" 5.62388818865412 5.45906701844339 4.44308497850099 0.00432026948735825 0.0655940707655654 -4.5859226898407
"CNTN5" 5.73963778474726 -0.107641851453882 4.44200154208352 0.00432531097075542 0.0655940707655654 -4.58592398037349
